"","items.a","items.b1","items.b2","items.b3","items.b4","means","F1"
"GO_Item_1",2.48913110956043,-1.49161427898802,-0.267301194043346,0.673262472815094,1.58314108880999,0,1
"GO_Item_2",1.79080444641723,-2.38160419781088,-1.05152209371582,0.22892393691877,1.85202463485483,0,1
"GO_Item_3",2.21180180784286,-1.52406127889843,-0.288325818817097,0.731301774570623,1.80263033469008,0,1
"GO_Item_4",1.97273909184181,-2.07144085839632,-0.928065020911379,0.229352122988668,1.73181576118373,0,1
"GO_Item_5",3.22027847532485,-1.17455101758054,-0.220494922993692,0.504777324965108,1.23028561600581,0,1
"GO_Item_6",3.24768604351003,-1.10506267267511,-0.226934031999664,0.486142358759652,1.15010895815809,0,1
"GO_Item_7",1.86512247440197,-1.98975418058845,-0.333847239565194,0.889883462231557,2.11292012927266,0,1
"GO_Item_8",3.34831756450253,-1.13228440444024,-0.241847517878984,0.484652184661154,1.14182007782669,0,1
"GO_Item_9",2.64731423024258,-1.38205598118575,-0.275800592364089,0.598757027059181,1.48951728522496,0,1
"GO_Item_10",2.1330138314718,-1.94280221109578,-0.826933076141993,0.235014577436071,1.54523968486085,0,1
"GO_Item_11",1.87773257557098,-1.92275727103428,-0.330137383463647,0.852830550012273,2.16183106726784,0,1
"GO_Item_12",2.55222253159201,-1.36440698207511,-0.28440249748833,0.633285778519206,1.50027647765949,0,1
"GO_Item_13",3.18800860407874,-1.18828492822872,-0.243843391835902,0.509845270048967,1.22628088248892,0,1
"GO_Item_14",3.03265679661508,-1.2131895056758,-0.248242933942043,0.531418372006493,1.33109737421211,0,1
"GO_Item_15",1.69466732739078,-2.05040100630529,-0.391614348207522,0.960353767488779,2.37309690779158,0,1
"GO_Item_16",1.85199529668823,-1.94175698222839,-0.361849845515328,0.848178823291692,2.12785744431088,0,1
"GO_Item_17",2.43440311082366,-1.7870884890779,-0.783876128147027,0.204848538587215,1.43019070651542,0,1
"GO_Item_18",2.25256218530398,-1.60859533426263,-0.287541871069076,0.750372336689537,1.76524486877055,0,1
"GO_Item_19",2.06136697980027,-2.00113147253957,-0.84119691520724,0.255273623944318,1.69523383224611,0,1
"GO_Item_20",2.27153230499608,-1.60352724260408,-0.32285213351856,0.719223477342734,1.74468197310453,0,1
